Archivo: prueba.cpp
Compilado: 03/05/22 15:31 p.m.
# | caracter
include | identificador
< | operador_relacional
iostream | identificador
> | operador_relacional
# | caracter
include | identificador
< | operador_relacional
stdio | identificador
. | caracter
h | identificador
> | operador_relacional
# | caracter
include | identificador
< | operador_relacional
conio | identificador
. | caracter
h | identificador
> | operador_relacional
float | tipo_datos
resultado | identificador
; | fin_sentencia
int | tipo_datos
a | identificador
, | caracter
b | identificador
, | caracter
c | identificador
, | caracter
d | identificador
; | fin_sentencia
char | tipo_datos
opcion | identificador
; | fin_sentencia
void | identificador
main | identificador
( | caracter
) | caracter
{ | caracter
12 | numero
; | fin_sentencia
} | caracter
